,Unnamed: 0,name,Daily,%YD,%LW,Theaters,Avg,To Date,Days,Distributor
2011,2011, 'Tales from Earthsea2010 Re-release',"$2,333 ",-5.50%,-,5,$466 ,"$28,544 ",6,Walt Disney Studios Motion Pictures\n\n
2013,2013, 'Twelve',$680 ,11.10%,-96.20%,12,$56 ,"$183,428 ",13,Hannover House\n\n
2017,2017, 'Behind Enemy Lines',"$6,532,523 ",-,-,"2,770","$2,358 ","$6,532,523 ",1,Twentieth Century Fox\n\n
2018,2018," ""Harry Potter and the Sorcerer's Stone""",", ",", ",", ",", ",", ",", ",", ",", "
2019,2019, 'Spy Game',"$3,504,050 ",197.60%,-58.50%,"2,770","$1,265 ","$39,182,815 ",10,Universal Pictures\n\n
2021,2021, 'Black Knight',"$1,643,516 ",294.50%,-62.70%,"2,534",$648 ,"$18,904,830 ",10,Twentieth Century Fox\n\n
2022,2022, 'Shallow Hal',"$1,452,774 ",280%,-57.20%,"2,428",$598 ,"$58,029,251 ",22,Twentieth Century Fox\n\n
2023,2023, 'Out Cold',"$1,008,086 ",414.40%,-44.80%,"2,011",$501 ,"$8,577,690 ",10,Walt Disney Studios Motion Pictures\n\n
2024,2024, 'The One',"$217,259 ",120.20%,-74%,973,$223 ,"$42,518,651 ",29,Revolution Studios\n\n
2025,2025, 'K-PAX',"$204,470 ",150.50%,-69.90%,889,$230 ,"$48,781,170 ",36,Universal Pictures\n\n
2026,2026, 'Mulholland Drive',"$32,680 ",122.40%,-49.40%,86,$380 ,"$5,066,138 ",54,Universal Pictures\n\n
2031,2031, 'The Last Castle',"$5,385 ",-15.50%,-77.70%,68,$79 ,"$18,103,504 ",43,DreamWorks Distribution\n\n
2072,2072, 'Ca$h',"$1,281 ",-28.40%,1339.30%,43,$29 ,"$46,157 ",21,Roadside Attractions\n\n
2075,2075, 'Don McKay',$182 ,30%,-80.40%,1,$182 ,"$13,722 ",14,Image Entertainment\n\n
2080,2080, 'Happy Death Day 2U',"$980,110 ",-,-,"3,207",$305 ,"$980,110 ",1,Universal Pictures\n\n
2081,2081, 'What Men Want',"$975,051 ",-42.60%,-,"2,912",$334 ,"$21,978,684 ",6,Paramount Pictures\n\n
2082,2082, 'Cold Pursuit',"$745,851 ",-38.70%,-,"2,630",$283 ,"$13,805,439 ",6,Lionsgate\n\n
2084,2084, 'Glass',"$366,370 ",-35.10%,-50.30%,"2,900",$126 ,"$99,693,600 ",27,Universal Pictures\n\n
2086,2086, 'The Prodigy',"$296,498 ",-40.50%,-,"2,530",$117 ,"$7,039,849 ",6,Orion Pictures\n\n
2087,2087, 'Dirty Dancing2019 Re-release',"$266,453 ",-,-,650,$409 ,"$622,968 ",4,Fathom Events\n\n
2088,2088, 'Aquaman',"$157,544 ",-48.60%,-55.80%,"2,202",$71 ,"$329,153,766 ",55,Warner Bros.\n\n
2089,2089, 'Spider-Man: Into the Spider-Verse',"$151,884 ",-42.60%,-49.10%,"1,404",$108 ,"$180,452,090 ",62,Sony Pictures Releasing\n\n
2091,2091, 'The Wandering Earth',"$143,052 ",-24.30%,-38.30%,69,"$2,073 ","$2,718,708 ",9,CMC Pictures\n\n
2092,2092, 'Miss Bala',"$141,691 ",-55.20%,-69.50%,"1,744",$81 ,"$12,567,676 ",13,Sony Pictures Releasing\n\n
2094,2094," ""A Dog's Way Home""",", ",", ",", ",", ",", ",", ",", ",", "
2095,2095, 'Vice',"$65,504 ",-16.80%,-46.40%,707,$92 ,"$45,426,583 ",51,Annapurna Pictures\n\n
2096,2096, 'The Favourite',"$64,064 ",-28.90%,-63.20%,456,$140 ,"$30,446,381 ",83,Fox Searchlight Pictures\n\n
2098,2098, 'A Star Is Born',"$60,740 ",-2.30%,-30.20%,456,$133 ,"$208,911,332 ",132,Warner Bros.\n\n
2099,2099, 'Cold War2018 Re-release',"$56,112 ",8.30%,-4.60%,270,$207 ,"$3,059,239 ",55,Amazon Studios\n\n
2100,2100, 'Mary Poppins Returns',"$48,630 ",-40.90%,-64.30%,842,$57 ,"$169,962,156 ",57,Walt Disney Studios Motion Pictures\n\n
2101,2101, 'The Mule',"$42,872 ",-23.10%,-57.80%,503,$85 ,"$102,743,150 ",62,Warner Bros.\n\n
2102,2102, 'On the Basis of Sex',"$42,035 ",-15.80%,-63.40%,335,$125 ,"$23,937,827 ",51,Focus Features\n\n
2103,2103, 'Bumblebee',"$38,148 ",-55%,-73.40%,788,$48 ,"$125,966,518 ",55,Paramount Pictures\n\n
2105,2105, 'The Kid Who Would Be King',"$33,958 ",-69%,-85.10%,945,$35 ,"$15,903,705 ",20,Twentieth Century Fox\n\n
2106,2106, 'If Beale Street Could Talk',"$29,750 ",-14.60%,-51.90%,266,$111 ,"$13,857,288 ",62,Annapurna Pictures\n\n
2107,2107, 'Ralph Breaks the Internet',"$17,194 ",-24.80%,-56.20%,398,$43 ,"$197,634,506 ",85,Walt Disney Studios Motion Pictures\n\n
2108,2108, 'Ek Ladki Ko Dekha Toh Aisa Laga',"$12,688 ",-54.20%,-65.30%,192,$66 ,"$1,097,313 ",13,FIP\n\n
2109,2109, 'Uri: The Surgical Strike2019 Re-release',"$10,631 ",-48.20%,-56.30%,87,$122 ,"$3,771,774 ",34,-
2110,2110, 'Can You Ever Forgive Me?',"$10,385 ",-6.10%,-55.10%,84,$123 ,"$8,573,575 ",118,Fox Searchlight Pictures\n\n
2111,2111, 'Dragon Ball Super: Broly',"$9,020 ",-62.90%,-89.40%,88,$102 ,"$30,657,123 ",29,FUNimation Entertainment\n\n
2112,2112, 'Destroyer',"$6,995 ",-40.40%,-78.30%,144,$48 ,"$1,484,051 ",51,Annapurna Pictures\n\n
2113,2113, 'Qué León',"$6,912 ",21.70%,-50.80%,70,$98 ,"$2,431,746 ",77,Spanglish Movies\n\n
2114,2114, 'Birds of Passage',"$6,867 ",-,-,1,"$6,867 ","$6,867 ",1,The Orchard\n\n
2116,2116, 'Serenity',"$5,789 ",-69.70%,-96.90%,283,$20 ,"$8,481,825 ",20,Aviron Pictures\n\n
2117,2117, 'Everybody Knows',"$5,370 ",31.30%,-,4,"$1,342 ","$86,251 ",6,Focus Features\n\n
2118,2118, 'Second Act',"$5,216 ",-41.80%,-88.90%,127,$41 ,"$39,226,632 ",55,STX Entertainment\n\n
2119,2119, 'Fantastic Beasts: The Crimes of Grindelwald',"$5,146 ",-9.50%,-46%,149,$34 ,"$159,454,198 ",90,Warner Bros.\n\n
2121,2121, 'The Grinch',"$3,580 ",-9.90%,-42.60%,110,$32 ,"$270,613,900 ",97,Universal Pictures\n\n
2122,2122, 'Perfect Strangers',"$2,611 ",-21.70%,-32.70%,83,$31 ,"$1,009,602 ",34,Pantelion Films\n\n
2123,2123, 'Creed II',"$2,570 ",-4%,-55.50%,69,$37 ,"$115,621,809 ",85,Metro-Goldwyn-Mayer (MGM)\n\n
2124,2124, 'Holmes & Watson',"$2,480 ",-34.30%,25.40%,71,$34 ,"$30,542,566 ",51,Sony Pictures Releasing\n\n
2125,2125, 'The World Before Your Feet',"$1,492 ",143.80%,142.20%,5,$298 ,"$226,818 ",85,Greenwich Entertainment\n\n
